Col.,Row,Wood Type ,Clone,Along lean dia (mm),Across lean dia (mm),Green AV (km/s),Green mass (grms),Green vol. (grms),Green   LD     (mm),Green curve (mm),Remarks,Dry AV (km/s),Dry mass (grms),Dry vol. (grms),Dry LD     (mm),Dry curve (mm),,Moisture content (%),Green density (kg/m3),Dry density (kg/m3),Basic density (kg/m3),Green MOE (Gpa),Dry MOE (Gpa),Lon. Shr. (%),Vol. shr. (%),,,Green av,Dry Av,Moisture content (%),Green density (kg/m3),Dry density (kg/m3),Basic density (kg/m3),Green MOE (Gpa),Dry MOE (Gpa),Lon. Shr. (%),Vol. shr. (%)
B,27,N,17,37.1,36.8,1.38,18.02,17.89,8.12,4.74,,2.83,6.34,15.54,7.26,6.32,,184,1007,408,354,1.92,3.27,0.95,13.14,
B,28,N,34,33.2,30.7,1.34,16.18,15.73,7.95,7.96,,2.94,5.02,13.63,7.17,8.88,,222,1029,368,319,1.85,3.18,0.77,13.35,
B,29,N,25,39,43.2,1.38,19.83,18.62,7.93,5.25,,2.94,6.44,15.77,7.16,5,,208,1065,408,346,2.03,3.53,0.71,15.31,
B,30,N,45,39.7,38,1.09,20.91,20.02,8.37,5.05,,2.48,6.77,17.31,7.07,5.2,,209,1044,391,338,1.24,2.41,1.19,13.54,
B,31,N,23,40.6,42.4,1.26,25.07,24.62,7.72,6.93,,2.72,8.53,21.47,6.23,8.27,,194,1018,397,346,1.62,2.94,1.51,12.79,
B,32,N,36,38.8,33.7,1.34,16.4,16.27,7.84,7.79,,2.86,5.66,14.15,6.92,7.87,,190,1008,400,348,1.81,3.27,0.85,13.03,
B,33,N,41,41.6,42.8,1.38,24.6,23.33,6.23,8.68,,3.04,7.43,19.05,5.3,8.68,,231,1054,390,318,2.01,3.60,0.87,18.35,
B,34,N,19,27.7,30,1.26,12.54,12.95,7.94,7.86,,2.68,4.23,11.3,6.83,8.27,,196,968,374,327,1.54,2.69,1.03,12.74,
B,35,N,20,39.8,43.3,1.17,22.71,21.05,7.71,4.42,,2.66,7.8,18.38,5.92,4.8,,191,1079,424,371,1.48,3.00,1.66,12.68,
C,1,N,19,36.9,33.9,1.22,23.17,21.64,11.46,5.22,,2.75,6.52,18,10.55,5.13,,255,1071,362,301,1.59,2.74,0.81,16.82,
C,2,N,38,35,31.4,1.36,21.89,20.09,10.69,7.59,,2.88,6.8,17.52,9.67,8.75,,222,1090,388,338,2.02,3.22,0.98,12.79,
C,3,N,28,43.3,38.7,1.28,26.51,24.41,11.12,1.49,,2.73,8.74,21.37,10.24,2.69,,203,1086,409,358,1.78,3.05,0.85,12.45,
C,4,N,28,38.2,43.2,1.26,27.11,25.26,11.46,8.9,,2.9,7.76,21.53,10.2,9.05,,249,1073,360,307,1.70,3.03,1.13,14.77,
C,5,N,30,31.4,27,1.24,12,11.21,10.19,9.38,,2.88,3.49,9.5,7.87,9.44,,244,1070,367,311,1.65,3.05,2.09,15.25,
C,6,N,18,37.2,34.4,1.28,18.41,17.08,12.37,7.23,,2.78,5.95,14.3,11.18,8.33,,209,1078,416,348,1.77,3.22,1.10,16.28,
C,7,N,12,34.1,34,1.19,19.55,18.16,10.25,6.57,,2.63,6.14,15.5,8.97,7.69,,218,1077,396,338,1.52,2.74,1.22,14.65,
C,8,N,13,37.9,39.1,1.3,17,15.76,11.27,5.64,,2.88,4.98,13.12,10.64,6.41,,241,1079,380,316,1.82,3.15,0.59,16.75,
C,9,N,36,38.3,33.7,1.13,14.7,13.92,11.23,6.38,,2.5,4.76,12.12,10.16,6.7,,209,1056,393,342,1.35,2.45,0.96,12.93,
C,10,N,37,41.3,39.2,1.36,21.36,19.61,11.33,6.93,,2.92,6.85,17.1,10.63,7.36,,212,1089,401,349,2.01,3.42,0.63,12.80,
C,11,N,38,41.8,43.7,1.24,27.02,25.16,10.78,6.81,,2.8,8.35,21.3,9.4,8.68,,224,1074,392,332,1.65,3.07,1.41,15.34,
C,12,N,38,36.8,37.4,1.24,19.87,18.23,10.98,5.3,,2.71,6.25,15.49,10.14,4.78,,218,1090,403,343,1.68,2.96,0.76,15.03,
C,13,N,13,30,30.3,1.09,11.76,10.84,9.8,6.57,,2.43,3.64,9.19,8.38,8.06,,223,1085,396,336,1.29,2.34,1.41,15.22,
C,14,N,28,41.2,40.4,1.24,23.83,22.9,10.61,5.45,,2.68,7.39,19.54,9.46,6.64,,222,1041,378,323,1.60,2.72,1.10,14.67,
C,15,N,24,39.6,34.8,1.26,19.59,18.25,10.32,6.53,,2.78,6.24,15.76,9.46,7.33,,214,1073,396,342,1.70,3.06,0.81,13.64,
C,16,N,23,39.8,37.9,1.24,19.88,18.77,11.05,2.47,,2.69,6.59,16.03,10.1,3.7,,202,1059,411,351,1.63,2.97,0.92,14.60,
C,17,N,25,38.3,40.4,1.49,17.26,15.93,10.66,6.54,,3.12,5.73,13.65,9.92,6.69,,201,1083,420,360,2.41,4.09,0.67,14.31,
C,18,N,36,36.3,33.1,1.42,25.55,24.45,10.8,9.29,,3,8.52,21.44,9.06,9.23,,200,1045,397,348,2.11,3.58,1.56,12.31,
C,19,N,31,39.3,36.9,1.47,23.34,21.43,10.23,4.99,,3.03,8,18.18,9.6,4.9,,192,1089,440,373,2.35,4.04,0.57,15.17,
C,20,N,13,37.7,35.4,1.19,24.05,22.26,10.52,8.55,,2.63,7.58,19.06,8.74,9.22,,217,1080,398,341,1.53,2.75,1.63,14.38,
C,21,N,41,42,46.5,1.3,31.11,28.83,10.5,7.1,,2.82,9.16,23.7,9.42,6.76,,240,1079,386,318,1.82,3.07,0.98,17.79,
C,22,N,12,33.2,33.1,1.22,16.99,15.89,9.85,7.46,,2.7,5.32,13.3,8.58,8.09,,219,1069,400,335,1.59,2.92,1.17,16.30,
C,23,N,30,41.7,39.2,1.17,19.01,18.18,10.1,8.36,,2.76,5.29,15.41,8.76,8.19,,259,1046,343,291,1.43,2.61,1.21,15.24,
C,24,N,23,38.6,40,1.2,20.11,18.63,10.82,4.11,,2.61,6.71,15.63,9.83,5.09,,200,1079,429,360,1.55,2.92,0.93,16.10,
C,25,N,18,38.3,40.5,1.32,19.41,18.17,11.17,6.65,,2.91,6.56,15.5,10.31,8.05,,196,1068,423,361,1.86,3.58,0.85,14.69,
C,26,N,12,30,29,1.17,16.42,15.26,9.85,5.6,,2.53,5.26,13.25,8.57,6.51,,212,1076,397,345,1.47,2.54,1.20,13.17,
C,27,N,28,35.3,38.3,1.19,21.31,19.86,10.71,7.42,,2.59,6.88,16.95,8.53,8.49,,210,1073,406,346,1.52,2.72,2.02,14.65,
C,28,N,12,33.9,32.3,1.3,14.73,13.66,11.14,6.79,,2.84,4.38,11.59,10.34,8.2,,236,1078,378,321,1.82,3.05,0.80,15.15,
C,29,N,17,39.3,36.9,1.19,19.92,18.38,10.63,3,,2.65,6.25,15.6,9.62,2.95,,219,1084,401,340,1.53,2.81,0.91,15.13,
C,30,N,23,40,36.4,1.19,21.8,20.4,10.11,6.42,,2.68,6.85,16.8,8.33,8.49,,218,1069,408,336,1.51,2.93,1.84,17.65,
C,31,N,12,36.9,35.2,1.36,16.57,15.5,9.85,5.29,,2.85,5.03,13.26,8.9,6.89,,229,1069,379,325,1.98,3.08,0.99,14.45,
C,32,N,20,39.3,35.8,1.3,18.4,17.06,9.44,9.09,,2.83,5.97,14.48,8.48,9.24,,208,1079,412,350,1.82,3.30,0.87,15.12,
C,33,N,28,32.9,38.3,1.32,17.81,16.53,9.82,9.17,,2.89,5.32,14.03,8.79,9.18,,235,1077,379,322,1.88,3.17,0.93,15.12,
C,34,N,38,41.2,41.3,1.11,21.77,19.91,10.15,6.58,,2.62,6.42,16.64,9.38,5.96,,239,1093,386,322,1.35,2.65,0.71,16.42,
C,35,N,41,40.4,37.9,1.32,28.5,26.4,10.68,9.01,,2.87,9,22.03,9.34,9.2,,217,1080,409,341,1.88,3.37,1.21,16.55,
D,1,N,28,39.9,40.1,1.26,24.04,23.54,8.78,9.29,,2.81,7.61,20.3,7.19,9.39,,216,1021,375,323,1.62,2.96,1.45,13.76,
D,2,N,15,40.5,39.8,1.34,28.59,27.25,9.34,9.19,,2.93,9.13,23.8,7.3,9.37,,213,1049,384,335,1.88,3.29,1.86,12.66,
D,3,N,38,43.1,35,1.24,18.38,17.36,7.99,6.96,,2.74,6.05,15.03,6.69,8.98,,204,1059,403,349,1.63,3.02,1.48,13.42,
